,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-29 14:00:00,368.4700,368.9300,367.7404,368.4200,135003,15
2018-08-29 13:45:00,367.8800,368.4000,367.7000,368.2756,217697,15
2018-08-29 13:30:00,367.9900,368.4299,367.9100,368.4299,44200,15
2018-08-29 13:15:00,369.4800,369.4800,367.6382,367.8300,203132,15
2018-08-29 13:00:00,369.0010,369.3900,368.4000,369.3900,207009,15
2018-08-29 12:45:00,367.6600,369.8400,367.6600,369.2700,454844,15
2018-08-29 12:30:00,367.5466,367.6334,366.7700,367.6334,128058,15
2018-08-29 12:15:00,367.7500,368.1500,367.0582,367.5800,177820,15
2018-08-29 12:00:00,366.6000,367.8199,366.5046,367.7400,228317,15
2018-08-29 11:45:00,365.1900,366.6600,365.1400,366.6600,174984,15
2018-08-29 11:30:00,366.0150,366.5800,365.0201,365.0201,245667,15
2018-08-29 11:15:00,366.3127,366.3650,365.6200,366.1600,186271,15
2018-08-29 11:00:00,367.1900,367.1900,365.9100,366.5500,249044,15
2018-08-29 10:45:00,367.2900,368.3600,366.8900,367.0500,434247,15
2018-08-29 10:30:00,365.5900,367.8000,365.5547,367.1573,579823,15
2018-08-29 10:15:00,363.7700,365.7558,363.3550,365.7400,447341,15
2018-08-29 10:00:00,364.7086,364.7600,363.0000,363.9218,529490,15
2018-08-29 09:45:00,365.0500,365.6090,363.6601,364.9200,483066,15
2018-08-29 09:30:00,367.1900,367.5200,363.9001,365.1700,990096,15
2018-08-28 15:45:00,369.1000,369.2654,367.7600,368.3958,606220,15
2018-08-28 15:30:00,368.4800,369.9900,368.4300,369.0000,642579,15
2018-08-28 15:15:00,368.4400,369.1900,367.7800,368.4100,496030,15
2018-08-28 15:00:00,366.9050,368.8400,366.3306,368.4400,329092,15
2018-08-28 14:45:00,366.8210,367.5099,366.7200,366.9400,235284,15
2018-08-28 14:30:00,366.5900,367.2200,366.1000,367.0210,280391,15
2018-08-28 14:15:00,366.6800,366.9400,365.7800,366.5404,257753,15
2018-08-28 14:00:00,365.8600,366.9400,365.6539,366.6039,438478,15
2018-08-28 13:45:00,363.4200,365.8700,363.4000,365.7000,278139,15
2018-08-28 13:30:00,362.7238,363.6800,362.6000,363.4972,101666,15
2018-08-28 13:15:00,363.2400,363.6100,362.5700,362.8000,101104,15
2018-08-28 13:00:00,363.3500,363.3500,362.5300,363.1700,90743,15
2018-08-28 12:45:00,363.3800,363.9300,362.8110,363.1800,119171,15
2018-08-28 12:30:00,363.4000,363.8000,363.0800,363.2700,102804,15
2018-08-28 12:15:00,362.9610,363.8000,362.8600,363.3500,168261,15
2018-08-28 12:00:00,361.8948,363.0655,361.6900,363.0000,146786,15
2018-08-28 11:45:00,361.3400,362.6900,361.3400,361.9900,184024,15
2018-08-28 11:30:00,361.3100,361.3100,361.1700,361.2101,9777,15
2018-08-28 11:15:00,362.9900,363.8200,362.9900,363.2569,502809,15
2018-08-28 11:00:00,363.1300,363.3833,362.4700,363.1450,175820,15
2018-08-28 10:45:00,364.2800,364.4183,362.9600,363.1500,273079,15
